trainfn,actfn1,actfn2,errfn,PerfTrain,PerfTest,PerfValidate,PerfTotal,Neurons,Slno
trainlm,logsig,softmax,sse,87.5,100,66.6666666666667,86.3636363636364,3,16
trainlm,tansig,softmax,sse,87.5,100,66.6666666666667,86.3636363636364,3,21
trainlm,logsig,softmax,crossentropy,87.5,100,66.6666666666667,86.3636363636364,3,25
trainbfg,logsig,logsig,sse,93.75,100,33.3333333333333,86.3636363636364,11,268
trainlm,tansig,softmax,crossentropy,81.25,100,66.6666666666667,81.8181818181818,3,26
trainlm,logsig,tansig,crossentropy,81.25,100,66.6666666666667,81.8181818181818,4,42
trainlm,logsig,purelin,crossentropy,87.5,100,33.3333333333333,81.8181818181818,5,70
trainlm,tansig,softmax,sse,87.5,100,33.3333333333333,81.8181818181818,5,85
trainbfg,logsig,purelin,sse,81.25,66.6666666666667,100,81.8181818181818,7,129
trainbfg,tansig,softmax,sse,81.25,66.6666666666667,100,81.8181818181818,7,146
trainlm,tansig,softmax,sse,87.5,100,33.3333333333333,81.8181818181818,8,181
trainlm,tansig,softmax,crossentropy,87.5,100,33.3333333333333,81.8181818181818,8,186
trainlm,tansig,purelin,crossentropy,87.5,100,33.3333333333333,81.8181818181818,8,189
trainlm,logsig,softmax,sse,87.5,100,33.3333333333333,81.8181818181818,10,240
trainlm,logsig,purelin,sse,87.5,100,33.3333333333333,81.8181818181818,10,243
trainlm,tansig,purelin,crossentropy,87.5,100,33.3333333333333,81.8181818181818,10,253
trainbfg,tansig,softmax,sse,87.5,100,33.3333333333333,81.8181818181818,11,274
trainbfg,tansig,softmax,crossentropy,81.25,100,66.6666666666667,81.8181818181818,11,276
trainlm,tansig,tansig,sse,87.5,100,33.3333333333333,81.8181818181818,11,286
trainlm,logsig,logsig,crossentropy,87.5,100,33.3333333333333,81.8181818181818,11,288
trainbfg,logsig,softmax,crossentropy,75,100,100,81.8181818181818,15,391
trainbfg,logsig,softmax,sse,75,100,100,81.8181818181818,16,431
trainlm,logsig,softmax,sse,75,100,100,81.8181818181818,16,432
trainbfg,tansig,softmax,sse,75,100,100,81.8181818181818,16,434
trainlm,tansig,logsig,sse,87.5,100,33.3333333333333,81.8181818181818,17,456
trainlm,logsig,purelin,sse,87.5,100,33.3333333333333,81.8181818181818,17,467
trainlm,tansig,purelin,sse,87.5,100,33.3333333333333,81.8181818181818,17,476
trainlm,logsig,logsig,crossentropy,93.75,100,0,81.8181818181818,17,480
trainlm,tansig,logsig,crossentropy,87.5,66.6666666666667,66.6666666666667,81.8181818181818,18,493
trainbfg,tansig,purelin,sse,81.25,100,66.6666666666667,81.8181818181818,18,504
trainlm,logsig,purelin,crossentropy,87.5,66.6666666666667,66.6666666666667,81.8181818181818,20,550
trainlm,logsig,purelin,sse,87.5,66.6666666666667,66.6666666666667,81.8181818181818,20,563
trainlm,logsig,logsig,sse,75,66.6666666666667,100,77.2727272727273,3,5
trainlm,logsig,purelin,crossentropy,75,100,66.6666666666667,77.2727272727273,3,6
trainlm,tansig,logsig,sse,75,66.6666666666667,100,77.2727272727273,3,8
trainlm,logsig,purelin,sse,75,100,66.6666666666667,77.2727272727273,3,19
trainlm,tansig,purelin,sse,75,100,66.6666666666667,77.2727272727273,3,28
trainlm,tansig,purelin,crossentropy,75,100,66.6666666666667,77.2727272727273,3,29
trainlm,tansig,tansig,crossentropy,81.25,33.3333333333333,100,77.2727272727273,3,31
trainlm,logsig,logsig,crossentropy,75,66.6666666666667,100,77.2727272727273,3,32
